start 17:37:31 cmd=0x0 sub=0 frame_len=37
hit 0 at 17:37:37 wrote=74 read-aborted
hit 1 at 17:37:52 wrote=74 read-aborted
hit 2 at 17:38:06 wrote=74 read-aborted
hit 3 at 17:38:20 wrote=74 read-aborted
hit 4 at 17:38:35 wrote=74 read-aborted
hit 5 at 17:38:49 wrote=74 read-aborted
hit 6 at 17:39:04 wrote=74 read-aborted
hit 7 at 17:39:18 wrote=74 read-aborted
hit 8 at 17:39:33 wrote=74 read-aborted
hit 9 at 17:39:47 wrote=74 read-aborted
hit 10 at 17:40:02 wrote=74 read-aborted
hit 11 at 17:40:16 wrote=74 read-aborted
