probe_cmd start 15:30:57
15:31:02 cmd=0x578 read-aborted
15:31:08 cmd=0x3e8 read-aborted
15:31:13 cmd=0xe read-aborted
15:31:19 cmd=0xa read-aborted
15:31:24 cmd=0x0 read-aborted
15:31:30 cmd=0x1 read-aborted
15:31:35 cmd=0x2 read-aborted
15:31:41 cmd=0x3 read-aborted
15:31:46 cmd=0x5 read-aborted
15:31:52 cmd=0xb read-aborted
15:31:57 cmd=0xc read-aborted
15:32:03 cmd=0xd read-aborted
15:32:09 cmd=0x10 read-aborted
15:32:14 cmd=0x11 read-aborted
15:32:20 cmd=0x100 read-aborted
15:32:25 cmd=0x200 read-aborted
15:32:31 cmd=0x57800 read-aborted
15:32:36 cmd=0x3e800 read-aborted
15:32:42 cmd=0xe0000 read-aborted
15:32:47 cmd=0xa0000 read-aborted
